LABNR,C14AGE,C14STD,C13,METHOD,MATERIAL,COUNTRY,SITE,FEATURE,FEATURE_DESC,DEPTH,LAT,LONG,PHASE,LITHICS,POTTERY,IRON,FRUIT,ZOO,CLASS,REMARK,SOURCE
Beta-202219,2310,60,,,-,GAB,Ebel Alembe 1,2,Pit,-,0.134,11.113,,-,Okala/Epona/Yindo,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-202220,2060,80,,,-,GAB,Ebel Alembe 1,3,Pit,-,0.134,11.113,,-,Otoumbi,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-202221,2320,60,,,-,GAB,Ebel Alembe 1,4,Pit,-,0.134,11.113,,-,Okala/Epona/Yindo,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-202222,2170,60,,,-,GAB,Ebel Alembe 2,2,Pit,-,0.134,11.116,,-,Okala/Epona/Yindo,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-202225,2450,50,,,-,GAB,Issemeyo 7,1,Pit,-,0.304,11.398,,-,Okala/Epona/Yindo,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-202226,2190,70,,,-,GAB,Benguie 7,1,Pit,-,0.288,11.384,,-,Okala/Epona/Yindo,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-202227,2340,70,,,-,GAB,Viafé 5,1,Pit,-,0.331,11.414,,-,Okala/Epona/Yindo,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-202228,1960,60,,,-,GAB,Viafé 3,1,Pit,-,0.2,11.38,,-,Otoumbi,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-202229,2060,70,,,-,GAB,Issemeyo 4,2,Pit,-,0.3,11.389,,-,Otoumbi,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-202230,2050,70,,,-,GAB,Issemeyo 4,19,Pit,-,0.3,11.389,,-,Otoumbi,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-202231,1430,60,,,-,GAB,Lalara 1,1,Pit,-,0.349,11.436,,-,Otoumbi,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-202232,1990,60,,,-,GAB,Lalara 1,4,Pit,-,0.349,11.436,,-,Otoumbi,-,-,,Ia,,Oslisly/Assoko Ndong 2006: 55
Beta-233400,1520,40,,,-,CMR,Kribi-Mpoengu,I-C1,Burial,0.6,2.927,9.912,,-,Bidjouka,object,,-,Ia,,Gouem Gouem 2010/2011: 627; Eggert/Seidensticker 2016:79 Tab. 4.2
Beta-233401,1510,50,,,-,CMR,Kribi-Mpoengu,II,Pit,0.95,2.927,9.912,,indet,Bidjouka,object; slag,,-,Ia,,"Gouem Gouem 2010/2011: 279, 597; Eggert/Seidensticker 2016:79 Tab. 4.2"
Beta-233402,2040,50,,,Charcoal,CMR,Kribi-Talla,II-BK,Pit,1,2.93,9.91,,indet,Bwambé/Mpoengu,-,-,,Ia,,"Gouem Gouem 2010/2011: 220, 560; Nlend Nlend 2013/2014: 257 Tab. 44; Eggert/Seidensticker 2016:80 Tab. 4.2"
Beta-233555,200,40,,,-,CAF,Limbumba (LM),-,-,,3.657,16.864,,-,indet,-,-,,Ib,,Lupo et al. 2018: 11 Tab. 3
Beta-233556,2380,40,,,-,CAF,Limbumba (LM),-,-,,3.657,16.864,,(indet),indet,-,-,,Ib,,"Lupo et al. 2018: 11 Tab. 3, 12"
Beta-233557,210,40,,,-,CAF,Limbumba (LM)/Ndele (Pos A),-,Trench,,3.65,16.87,,-,indet,-,-,,Ib,,Kiahtipes et al. 2011; Lupo et al. 2018: 11 Tab. 3
Beta-234983,120,40,,,-,CAF,Limbumba (LM),-,-,,3.657,16.864,,-,indet,-,-,,Ib,,Lupo et al. 2018: 11 Tab. 3
Beta-234984,160,40,,,-,CAF,Limbumba (LM),-,-,,3.657,16.864,,-,indet,-,-,,Ib,,Lupo et al. 2018: 11 Tab. 3
Beta-242316,2190,50,,,-,CMR,Kribi-Mpoengu,I-A,Pit,0.55,2.927,9.912,,indet,Bwambé/Mpoengu,slag,,-,Ia,,"Gouem Gouem 2010/2011: 196, 547; Eggert/Seidensticker 2016:79 Tab. 4.2"
Beta-242317,1470,40,,,-,CMR,Kribi-Mpoengu,I-C,Pit,0.925,2.927,9.912,,indet,Bidjouka,object; slag,,-,Ia,,"Gouem Gouem 2010/2011: 303, 612; Eggert/Seidensticker 2016:79 Tab. 4.2"
Beta-245103,220,40,,AMS,-,CMR,Dibamba,F. 08 (40-50 cm),Pit,0.45,3.996,9.822,,-,Dibamba A,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-245104,190,40,,AMS,-,CMR,Dibamba,F. 11 (30-50 cm),Pit,0.35,3.996,9.822,,-,Dibamba A,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-245105,760,40,,AMS,-,CMR,Dibamba,F. 15 (40-50 cm),Pit,0.45,3.996,9.822,,-,Dibamba C,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
